name,title,year
Duncan Kenworthy,Four Weddings and a Funeral,1994
Lindsay Doran,Sense and Sensibility,1995
Saul Zaentz,The English Patient,1996
Uberto Pasolini,The Full Monty,1997
Donna GigliottiMarc NormanDavid ParfittHarvey WeinsteinEdward Zwick,Shakespeare in Love,1998
Bruce CohenDan Jinks,American Beauty,1999
David FranzoniBranko LustigDouglas Wick,Gladiator,2000
Peter JacksonBarrie M. OsborneTim SandersFran Walsh,The Lord of the Rings: The Fellowship of the Ring,2001
Robert BenmussaRoman PolanskiAlain Sarde,The Pianist,2002
Peter JacksonBarrie M. OsborneFran Walsh,The Lord of the Rings: The Return of the King,2003
"Sandy ClimanCharles Evans, Jr.Graham KingMichael Mann",The Aviator,2004
Diana OssanaJames Schamus,Brokeback Mountain,2005
Tracey SeawardChristine LanganAndy Harries,The Queen,2006
"Tim Bevan, Eric Fellner, Paul Webster",Atonement,2007
Christian Colson,Slumdog Millionaire,2008
"Kathryn Bigelow, Mark Boal, Nicolas Chartier, Greg Shapiro",The Hurt Locker,2009
"Iain Canning, Emile Sherman, Gareth Unwin",The King's Speech,2010
Thomas Langmann,The Artist,2011
"Grant Heslov, Ben Affleck, George Clooney",Argo,2012
"Brad Pitt, Anthony Katagas, Dede Gardner, Jeremy Kleiner, Steve McQueen",12 Years a Slave,2013
"Richard Linklater, Cathleen Sutherland",Boyhood,2014
"Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon",The Revenant,2015
"Fred Berger, Jordan Horowitz, Marc Platt",La La Land,2016
"Graham Broadbent, Pete Czernin, Martin McDonagh ","Three Billboards Outside Ebbing, Missouri",2017
"Alfonso Cuarón, Gabriela Rodriguez, Nicolas Celis",Roma,2018
"Pippa Harris, Callum McDougall, Sam Mendes, Jayne-Ann Tenggren",1917,2019
